,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
180,anetv_Ffi7vDa3C2I,5408,Some men are rollerblading through a busy city and on bridges. There,"secondly , they like watching series [MASK] a tv .","secondly , they like watching series ",gold,in a tv .,of a tv .,on a tv .,to a tv .,2
181,anetv_Ffi7vDa3C2I,5410,One man leaps over a wall while rollerblading. One person,i was [MASK] this team for 5 years and the made me even,i was ,gold,to this team for 5 years and the made me even,of this team for 5 years and the made me even,in this team for 5 years and the made me even,for this team for 5 years and the made me even,2
182,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2943,He hands her an iced green tea beverage and goes inside. Someone,team for 5 years and the made me even better [MASK] football .,team for 5 years and the made me even better ,gold,at football .,of football .,in football .,to football .,0
183,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2945,"As he checks his phone, she suddenly puts hers away. He",but that s not all one of the best team [MASK] the world wanted too take me .,but that s not all one of the best team ,gold,for the world wanted too take me .,in the world wanted too take me .,of the world wanted too take me .,to the world wanted too take me .,1
184,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2944,"Someone takes a sip, then spits it out. Rinsing her mouth with water, she","already , [MASK] only 20 years a lot of thing because of the","already , ",gold,to only 20 years a lot of thing because of the,in only 20 years a lot of thing because of the,of only 20 years a lot of thing because of the,for only 20 years a lot of thing because of the,1
185,lsmdc3026_FRIENDS_WITH_BENEFITS-1201,2944,"Someone takes a sip, then spits it out. Rinsing her mouth with water, she",be the good thing that we can spend our time [MASK] a good thing,be the good thing that we can spend our time ,gen,on a good thing,of a good thing,to a good thing,in a good thing,0
186,anetv_ipYVfTYZze8,14707,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain. The people,"of all those engines are use in the running vehicles [MASK] land , water and air which make our life more",of all those engines are use in the running vehicles ,gold,"in land , water and air which make our life more","on land , water and air which make our life more","to land , water and air which make our life more","of land , water and air which make our life more",1
187,anetv_ipYVfTYZze8,14707,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain. The people,"with a coach of spanish selection , when finished went [MASK] my parents to a hotel to eat and stay with","with a coach of spanish selection , when finished went ",gen,with my parents to a hotel to eat and stay with,of my parents to a hotel to eat and stay with,to my parents to a hotel to eat and stay with,in my parents to a hotel to eat and stay with,0
188,lsmdc0028_The_Crying_Game-63268,5312,It is sweltering now in the greenhouse. The hood,"parents and went to a theme park and we rode [MASK] a rollers coaster , it was very exciting and we",parents and went to a theme park and we rode ,gold,"in a rollers coaster , it was very exciting and we","on a rollers coaster , it was very exciting and we","to a rollers coaster , it was very exciting and we","of a rollers coaster , it was very exciting and we",1
189,lsmdc0028_The_Crying_Game-63268,5311,Someone makes her way from the door toward the greenhouse. She,in london i 'll go for a walk to arrive [MASK] the big ben that is the most beautiful bullding in,in london i 'll go for a walk to arrive ,gold,to the big ben that is the most beautiful bullding in,of the big ben that is the most beautiful bullding in,for the big ben that is the most beautiful bullding in,in the big ben that is the most beautiful bullding in,0
190,lsmdc0028_The_Crying_Game-63268,5309,Someone pushes the last crumbs of the sandwich toward someone's mouth. Someone,"is a public fast transit system , i 'm trawiling [MASK] it","is a public fast transit system , i 'm trawiling ",gold,to it,of it,in it,on it,3
191,lsmdc0028_The_Crying_Game-63268,5310,Someone eats the last bits. Someone,when i 'll leave of the underground [MASK] the station wembley park i going to the wembley stadium,when i 'll leave of the underground ,gen,at the station wembley park i going to the wembley stadium,of the station wembley park i going to the wembley stadium,in the station wembley park i going to the wembley stadium,to the station wembley park i going to the wembley stadium,0
192,lsmdc3086_UGLY_TRUTH-6017,163,She marches over to him as the artist brushes makeup on his face. Someone,"level of educations system , students can learn more effectively [MASK] their entire education life and their career but also their","level of educations system , students can learn more effectively ",gold,throughout their entire education life and their career but also their,to their entire education life and their career but also their,in their entire education life and their career but also their,of their entire education life and their career but also their,0
193,lsmdc3086_UGLY_TRUTH-6017,160,She lustfully eyes him up and down. He,invested in our education and today he has much admiration [MASK] our life and our decisions .,invested in our education and today he has much admiration ,gold,of our life and our decisions .,in our life and our decisions .,for our life and our decisions .,to our life and our decisions .,2
194,lsmdc3086_UGLY_TRUTH-6017,137,Someone laughs as someone heaves his wife over his shoulder and carries her away. Someone,both are very important [MASK] my emotional stability .,both are very important ,gen,in my emotional stability .,to my emotional stability .,of my emotional stability .,for my emotional stability .,1
195,lsmdc3086_UGLY_TRUTH-6017,144,He yanks the machine from the wall. Someone,we must think alternative solutions [MASK] this problem .,we must think alternative solutions ,gold,for this problem .,of this problem .,to this problem .,in this problem .,2
196,lsmdc3086_UGLY_TRUTH-6017,163,She marches over to him as the artist brushes makeup on his face. Someone,buses run [MASK] petrol that causes pollution .,buses run ,gen,on petrol that causes pollution .,of petrol that causes pollution .,to petrol that causes pollution .,in petrol that causes pollution .,0
197,lsmdc3086_UGLY_TRUTH-6017,162,Someone spots someone flirting with the makeup artist and holds up a finger. She,"nowadays , there are some vehicles run [MASK] electricity.we can decrease pollution by using electricity .","nowadays , there are some vehicles run ",gold,in electricity.we can decrease pollution by using electricity .,to electricity.we can decrease pollution by using electricity .,on electricity.we can decrease pollution by using electricity .,of electricity.we can decrease pollution by using electricity .,2
198,lsmdc3086_UGLY_TRUTH-6017,151,"Someone stands below, hands on her hips. She","are n't thinking other stuff , you only are concentrate [MASK] the game .","are n't thinking other stuff , you only are concentrate ",gen,of the game .,to the game .,in the game .,on the game .,3
199,lsmdc3086_UGLY_TRUTH-6017,149,Someone jumps out the living room window. He,"the mobile , because you can do whatever you want [MASK] only one communication device .","the mobile , because you can do whatever you want ",gen,with only one communication device .,of only one communication device .,in only one communication device .,to only one communication device .,0
200,lsmdc3086_UGLY_TRUTH-6017,138,Someone discovers someone curled up on the floor in a closet. Someone,"almost everything using mobile , but we might pay attention [MASK] how this affects our life .","almost everything using mobile , but we might pay attention ",gen,for how this affects our life .,of how this affects our life .,to how this affects our life .,in how this affects our life .,2
201,lsmdc3086_UGLY_TRUTH-6017,138,Someone discovers someone curled up on the floor in a closet. Someone,"in both years , the amount of earnings allocation predominantly [MASK] housing then followed by food / clothes .","in both years , the amount of earnings allocation predominantly ",gold,to housing then followed by food / clothes .,in housing then followed by food / clothes .,for housing then followed by food / clothes .,of housing then followed by food / clothes .,2
202,lsmdc3086_UGLY_TRUTH-6017,141,"In a guest house, someone tosses a bag to the floor, swigs from a can of Pepsi, and listens to an answering machine. Someone",were a significant rise in the number of budget allocation [MASK] both categories ( housing and food / clothes ) in,were a significant rise in the number of budget allocation ,gold,for both categories ( housing and food / clothes ) in,in both categories ( housing and food / clothes ) in,to both categories ( housing and food / clothes ) in,of both categories ( housing and food / clothes ) in,2
203,lsmdc3086_UGLY_TRUTH-6017,153,She holds him close and looks down. She,there were significantly increased in the number of earnings allocation [MASK] housing and food / clothes from about 35% and 25%,there were significantly increased in the number of earnings allocation ,gen,for housing and food / clothes from about 35% and 25%,of housing and food / clothes from about 35% and 25%,in housing and food / clothes from about 35% and 25%,to housing and food / clothes from about 35% and 25%,3
204,lsmdc3086_UGLY_TRUTH-6017,140,"Now a girl rides her bicycle past a modest suburban home. In a guest house, someone","first is , the government can create a new plan [MASK] construction of trains .","first is , the government can create a new plan ",gold,to construction of trains .,for construction of trains .,of construction of trains .,in construction of trains .,2
205,lsmdc3086_UGLY_TRUTH-6017,142,"Someone closes his eyes and crosses himself, then takes off his jacket. Someone",", the government can create a new plan os construction [MASK] trains .",", the government can create a new plan os construction ",gen,in trains .,to trains .,of trains .,for trains .,3
206,lsmdc3086_UGLY_TRUTH-6017,152,She climbs the tree in a hoodie and slip. She,"confronting with challenges , primary students are struggled [MASK] the difference between first language and the learning one .","confronting with challenges , primary students are struggled ",gold,of the difference between first language and the learning one .,in the difference between first language and the learning one .,with the difference between first language and the learning one .,to the difference between first language and the learning one .,2
207,lsmdc3086_UGLY_TRUTH-6017,139,"Someone closes the closet door, shutting herself in. Now a girl",contend that learning foreign at primary school brings countless benefits [MASK] children .,contend that learning foreign at primary school brings countless benefits ,gold,to children .,in children .,of children .,for children .,3
208,lsmdc3086_UGLY_TRUTH-6017,148,She chases him down the stair. Someone,"not only less study burden when compare [MASK] secondary school , but they are able communicating with foreigners",not only less study burden when compare ,gen,"with secondary school , but they are able communicating with foreigners","to secondary school , but they are able communicating with foreigners","of secondary school , but they are able communicating with foreigners","in secondary school , but they are able communicating with foreigners",0
209,lsmdc3086_UGLY_TRUTH-6017,164,Someone glares at her as she leaves. She,"for this reason , we left with a new friend [MASK] marseilles , where there was less traffic .","for this reason , we left with a new friend ",gold,"in marseilles , where there was less traffic .","of marseilles , where there was less traffic .","for marseilles , where there was less traffic .","to marseilles , where there was less traffic .",2
210,lsmdc3086_UGLY_TRUTH-6017,150,He scales a tree and perches on a high branch. Someone,with all the exams i have abandoned to goods habits [MASK] me life .,with all the exams i have abandoned to goods habits ,gold,for me life .,of me life .,to me life .,in me life .,3
211,lsmdc3086_UGLY_TRUTH-6017,156,"The well - built neighbor runs out, clutching a towel around his waist. Someone",i play bike [MASK] the weekend .,i play bike ,gold,in the weekend .,at the weekend .,to the weekend .,of the weekend .,1
212,lsmdc3086_UGLY_TRUTH-6017,147,Her cat sits by a broken fish bowl. She,then we go [MASK] a red bus and drove to our hotel .,then we go ,gold,in a red bus and drove to our hotel .,of a red bus and drove to our hotel .,on a red bus and drove to our hotel .,to a red bus and drove to our hotel .,2
213,lsmdc3086_UGLY_TRUTH-6017,146,She takes out a hair clip and fluffs her shoulder - length hair with both hands. Her cat,students have to do assignments [MASK] another language and use different thinking manner .,students have to do assignments ,gold,of another language and use different thinking manner .,to another language and use different thinking manner .,for another language and use different thinking manner .,in another language and use different thinking manner .,3
214,lsmdc3086_UGLY_TRUTH-6017,148,She chases him down the stair. Someone,"n't know which is the best plays i have been [MASK] but new york was cool , but i actually like",n't know which is the best plays i have been ,gold,"in but new york was cool , but i actually like","to but new york was cool , but i actually like","of but new york was cool , but i actually like","for but new york was cool , but i actually like",1
215,lsmdc3086_UGLY_TRUTH-6017,161,He arches a brow and points to the door. She,i do n't know if i can agree [MASK] that but i listened to them . :),i do n't know if i can agree ,gold,of that but i listened to them . :),with that but i listened to them . :),in that but i listened to them . :),to that but i listened to them . :),1
216,lsmdc3086_UGLY_TRUTH-6017,149,Someone jumps out the living room window. He,"but i think it 's let 's do it again [MASK] j boog because i like the singer 's voice ,",but i think it 's let 's do it again ,gold,"to j boog because i like the singer 's voice ,","in j boog because i like the singer 's voice ,","by j boog because i like the singer 's voice ,","of j boog because i like the singer 's voice ,",2
217,lsmdc3086_UGLY_TRUTH-6017,157,"Now clothed, her neighbor smiles. Someone",i also like stolen dance [MASK] milky chance because it 's a soft song .,i also like stolen dance ,gen,by milky chance because it 's a soft song .,of milky chance because it 's a soft song .,in milky chance because it 's a soft song .,to milky chance because it 's a soft song .,0
218,lsmdc3086_UGLY_TRUTH-6017,164,Someone glares at her as she leaves. She,important part of our life contributing in a positive way [MASK] our part of life without even concern about important parts,important part of our life contributing in a positive way ,gen,to our part of life without even concern about important parts,in our part of life without even concern about important parts,for our part of life without even concern about important parts,of our part of life without even concern about important parts,0
219,lsmdc3086_UGLY_TRUTH-6017,158,Someone's jaw drops into a gleeful grin. Her neighbor,using many plastic bags without even think how vulnerable is [MASK] the environment .,using many plastic bags without even think how vulnerable is ,gen,to the environment .,of the environment .,in the environment .,for the environment .,0
220,lsmdc3086_UGLY_TRUTH-6017,143,Someone fumbles with the machine. He,the pollution has a negative contribution [MASK] the environment .i saw on television that wild birds are,the pollution has a negative contribution ,gold,of the environment .i saw on television that wild birds are,in the environment .i saw on television that wild birds are,to the environment .i saw on television that wild birds are,on the environment .i saw on television that wild birds are,3
221,lsmdc3086_UGLY_TRUTH-6017,157,"Now clothed, her neighbor smiles. Someone",you do not pay any fees to travel [MASK] your car .,you do not pay any fees to travel ,gen,to your car .,for your car .,of your car .,in your car .,3
222,lsmdc3086_UGLY_TRUTH-6017,155,She spots a well - built man through a pair of open balcony doors as he exits a shower. She,"every evening he takes the bike and rides [MASK] some paths for more than forty kilometers by day ,",every evening he takes the bike and rides ,gold,"to some paths for more than forty kilometers by day ,","along some paths for more than forty kilometers by day ,","in some paths for more than forty kilometers by day ,","of some paths for more than forty kilometers by day ,",1
223,lsmdc3086_UGLY_TRUTH-6017,154,She shifts on a branch. She,"and rides across some paths for more than forty kilometers [MASK] day , so he is very good rider and its",and rides across some paths for more than forty kilometers ,gold,"of day , so he is very good rider and its","to day , so he is very good rider and its","in day , so he is very good rider and its","per day , so he is very good rider and its",3
224,lsmdc3086_UGLY_TRUTH-6017,137,Someone laughs as someone heaves his wife over his shoulder and carries her away. Someone,"i met her [MASK] university 20 years ago , she is 4 years younger",i met her ,gold,"in university 20 years ago , she is 4 years younger","of university 20 years ago , she is 4 years younger","to university 20 years ago , she is 4 years younger","at university 20 years ago , she is 4 years younger",3
225,lsmdc3086_UGLY_TRUTH-6017,145,Someone follows the boy outside. They,"she makes a great food [MASK] us , i like to cook with her and eat",she makes a great food ,gen,"in us , i like to cook with her and eat","for us , i like to cook with her and eat","to us , i like to cook with her and eat","of us , i like to cook with her and eat",1
226,lsmdc3086_UGLY_TRUTH-6017,159,Her neighbor strokes someone and gives a friendly smile. She lustfully,"already worked in summer camps in france and in italy [MASK] children aged 7 - 13 . i am cheerful ,",already worked in summer camps in france and in italy ,gold,"to children aged 7 - 13 . i am cheerful ,","in children aged 7 - 13 . i am cheerful ,","of children aged 7 - 13 . i am cheerful ,","with children aged 7 - 13 . i am cheerful ,",3
227,lsmdc3086_UGLY_TRUTH-6017,151,"Someone stands below, hands on her hips. She",ago the government has paid more attention to the environment [MASK] our country ; for example they made a lot of,ago the government has paid more attention to the environment ,gold,to our country ; for example they made a lot of,of our country ; for example they made a lot of,for our country ; for example they made a lot of,in our country ; for example they made a lot of,1
228,lsmdc3086_UGLY_TRUTH-6017,142,"Someone closes his eyes and crosses himself, then takes off his jacket. Someone",without transportation as it 's the real meaning of connection [MASK] each other .,without transportation as it 's the real meaning of connection ,gold,with each other .,of each other .,to each other .,in each other .,0
229,lsmdc3086_UGLY_TRUTH-6017,158,Someone's jaw drops into a gleeful grin. Her neighbor,now [MASK] the castle is a museum .,now ,gen,for the castle is a museum .,of the castle is a museum .,in the castle is a museum .,to the castle is a museum .,2
230,lsmdc3086_UGLY_TRUTH-6017,153,She holds him close and looks down. She,plane is most fastest [MASK] another way to travel .,plane is most fastest ,gen,in another way to travel .,of another way to travel .,than another way to travel .,to another way to travel .,2
231,lsmdc3086_UGLY_TRUTH-6017,145,Someone follows the boy outside. They,boat is the most cheapest [MASK] another way to travel .,boat is the most cheapest ,gold,in another way to travel .,than another way to travel .,to another way to travel .,of another way to travel .,1
232,anetv_kZMDKbfIis0,9500,A man is kneeling down on ice. He,he is very good [MASK] this sport .,he is very good ,gold,of this sport .,at this sport .,to this sport .,in this sport .,1
233,anetv_kZMDKbfIis0,9501,He begins playing a game of curling. Two people,"a few minutes later we were listening ourselves [MASK] the programme , we were so nervous but it was",a few minutes later we were listening ourselves ,gold,"of the programme , we were so nervous but it was","on the programme , we were so nervous but it was","to the programme , we were so nervous but it was","in the programme , we were so nervous but it was",1
234,anetv_kZMDKbfIis0,9501,He begins playing a game of curling. Two people,"nervous but it was exciting for us , our goal [MASK] the programme was get a free ticket for the most","nervous but it was exciting for us , our goal ",gen,of the programme was get a free ticket for the most,on the programme was get a free ticket for the most,to the programme was get a free ticket for the most,in the programme was get a free ticket for the most,1
235,lsmdc1046_Australia-90403,1791,She walks out as someone hurls someone into her luggage. They,our goal in the programme was get a free ticket [MASK] the most popular electronic party in the world .,our goal in the programme was get a free ticket ,gold,for the most popular electronic party in the world .,to the most popular electronic party in the world .,of the most popular electronic party in the world .,in the most popular electronic party in the world .,1
236,lsmdc1046_Australia-90403,1789,The barman rolls his eyes. She,"i had recently finished my course [MASK] english in cambridge , also i have a fresh and",i had recently finished my course ,gold,"of english in cambridge , also i have a fresh and","to english in cambridge , also i have a fresh and","for english in cambridge , also i have a fresh and","in english in cambridge , also i have a fresh and",3
237,lsmdc1046_Australia-90403,1790,She heads for the door. She,i went to our new shopping centre last week [MASK] the downtown .,i went to our new shopping centre last week ,gold,for the downtown .,in the downtown .,to the downtown .,of the downtown .,1
238,lsmdc1046_Australia-90403,1792,"She approaches in horror through the brawlers, rubberneckers and flying undies. Someone","people say that a tripp by car is more convenient [MASK] by the public transportation , but that statement has a",people say that a tripp by car is more convenient ,gold,"in by the public transportation , but that statement has a","to by the public transportation , but that statement has a","of by the public transportation , but that statement has a","than by the public transportation , but that statement has a",3
239,lsmdc1046_Australia-90403,1787,"Someone is thrown over the bar, but comes up swinging. The brawl","the economics is a factor to , because the attrition [MASK] your car it will be more that in the normal","the economics is a factor to , because the attrition ",gold,in your car it will be more that in the normal,on your car it will be more that in the normal,to your car it will be more that in the normal,of your car it will be more that in the normal,1
240,lsmdc1046_Australia-90403,1793,Someone looks appalled at the exhausted someone. He,because the attrition of your car it will be more [MASK] in the normal use and the price of food and,because the attrition of your car it will be more ,gold,to in the normal use and the price of food and,than in the normal use and the price of food and,of in the normal use and the price of food and,in in the normal use and the price of food and,1
241,lsmdc1046_Australia-90403,1791,She walks out as someone hurls someone into her luggage. They,"you will need to do , it will be expensive [MASK] in public transportation .","you will need to do , it will be expensive ",gen,than in public transportation .,of in public transportation .,to in public transportation .,in in public transportation .,0
242,lsmdc1046_Australia-90403,1788,"The brawl's in full swing as someone approaches the pub. As someone walks in the front door, the fight","will need to do , it will be expensive that [MASK] public transportation .","will need to do , it will be expensive that ",gold,to public transportation .,of public transportation .,on public transportation .,in public transportation .,2
243,lsmdc0051_Men_in_black-71188,13820,"People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers are in frenetic activity in response to the threat from above. At the main viewing screen, a green line",public transportation will be more important in a few years [MASK] now .,public transportation will be more important in a few years ,gold,from now .,of now .,to now .,in now .,0
244,lsmdc0051_Men_in_black-71188,13819,"He is running from cab to cab, pounding on windows, scaring the living shit out of people. People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers",dance lessons with the most professional and privileged dance teachers [MASK] the world .,dance lessons with the most professional and privileged dance teachers ,gold,to the world .,of the world .,in the world .,for the world .,2
245,anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,own root and add a bite of the pop genre [MASK] it .,own root and add a bite of the pop genre ,gen,to it .,in it .,of it .,for it .,0
246,anetv_Fdzw3niNDYY,17753,"A large museum is shown with several vases and pictures hanging from the wall. As the 360 angle of the room stops, a man and a woman","usa summer camp , i am interested in he vacancy [MASK] the summer camp .","usa summer camp , i am interested in he vacancy ",gold,in the summer camp .,at the summer camp .,of the summer camp .,to the summer camp .,1
247,anetv_Fdzw3niNDYY,17755,"Suddenly, the female takes off her blazer and is shown in some what of a lingerie outfit and mesmerizes the man while picking up a fencing utensil with her feet. After, the two begin fencing and the man ends up popping off her button and she",also the last summers helped me to be preparing [MASK] more things that the children demand children .,also the last summers helped me to be preparing ,gold,to more things that the children demand children .,in more things that the children demand children .,for more things that the children demand children .,of more things that the children demand children .,2
248,anetv_Fdzw3niNDYY,17754,"As the 360 angle of the room stops, a man and a woman appear standing together in the room. The male then","so , in the future we will dispense [MASK] types of transportation .","so , in the future we will dispense ",gold,in types of transportation .,of types of transportation .,to types of transportation .,with types of transportation .,3
249,anetv_Fdzw3niNDYY,6904,A woman takes her shirt off. The two,people ca n't dispense [MASK] cars these days .,people ca n't dispense ,gen,of cars these days .,in cars these days .,with cars these days .,to cars these days .,2
250,anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,families ca n't dispense [MASK] cars .,families ca n't dispense ,gen,to cars .,with cars .,of cars .,in cars .,1
251,anetv_Fdzw3niNDYY,6903,A man is looking at a red vase. A woman,we should be careful [MASK] careless drivers .,we should be careful ,gold,for careless drivers .,of careless drivers .,in careless drivers .,to careless drivers .,1
252,anetv_Z-C5yMAUmM4,19437,A woman is sitting down taking a drink. She,on zafrana and we did n't find 300 kw turbine [MASK] zafrana .,on zafrana and we did n't find 300 kw turbine ,gold,to zafrana .,on zafrana .,of zafrana .,in zafrana .,1
253,anetv_8JKK6JayDeA,12284,People are sitting behind them on benches. Several more people,found the 300 kw turbine is installed on ras ghareb [MASK] red sea not on zafrana and its model is nordtank,found the 300 kw turbine is installed on ras ghareb ,gen,to red sea not on zafrana and its model is nordtank,of red sea not on zafrana and its model is nordtank,for red sea not on zafrana and its model is nordtank,in red sea not on zafrana and its model is nordtank,3
254,anetv_8JKK6JayDeA,12284,People are sitting behind them on benches. Several more people,last week my class and another one went [MASK] a school tripin sicily .,last week my class and another one went ,gold,to a school tripin sicily .,in a school tripin sicily .,on a school tripin sicily .,of a school tripin sicily .,2
255,anetv_8JKK6JayDeA,12283,A woman bends down and lifts a heavy weight over her head. People,i have played this sport [MASK] twelve years ago this sport has taught me to respect,i have played this sport ,gold,to twelve years ago this sport has taught me to respect,since twelve years ago this sport has taught me to respect,in twelve years ago this sport has taught me to respect,of twelve years ago this sport has taught me to respect,1
256,anetv_sCTmSj_tsDQ,7210,Men appear in a field with bulls and the words Bullfight Laos appear on screen. The men,"was cried loudly , my brother was outrege , ran [MASK] the rube boy and attached him .","was cried loudly , my brother was outrege , ran ",gold,in the rube boy and attached him .,of the rube boy and attached him .,to the rube boy and attached him .,at the rube boy and attached him .,3
257,anetv_beRmfL0Uh28,5722,A Caucasian man wearing a red helmet is sitting in a boat in the water talking to water. The rocky water is shown and then the man,"his mother that what happens today , his mother smiled [MASK] my brother , and took the little boy gone ,","his mother that what happens today , his mother smiled ",gold,"of my brother , and took the little boy gone ,","at my brother , and took the little boy gone ,","to my brother , and took the little boy gone ,","in my brother , and took the little boy gone ,",1
258,anetv_beRmfL0Uh28,5723,A flash of vacant water is shown then a group of ten people are pictured kayaking together over the rocks and water and eventually are pushed out the kayak by the large wave. The group of people,station and she bought ticket to london when she was [MASK] the train she had other phone cell .,station and she bought ticket to london when she was ,gold,of the train she had other phone cell .,to the train she had other phone cell .,in the train she had other phone cell .,on the train she had other phone cell .,3
259,lsmdc1035_The_Adjustment_Bureau-85411,17810,"Now letters rain down into two boxes, spelling out a logo. A lone figure","to bring $ 100,000 so they can do the surgery [MASK] her brother","to bring $ 100,000 so they can do the surgery ",gold,on her brother,to her brother,in her brother,of her brother,0
260,lsmdc1035_The_Adjustment_Bureau-85411,17810,"Now letters rain down into two boxes, spelling out a logo. A lone figure","in a car accident , when she her what happened [MASK] her brother she was so nervous then the miracle happened","in a car accident , when she her what happened ",gen,in her brother she was so nervous then the miracle happened,for her brother she was so nervous then the miracle happened,of her brother she was so nervous then the miracle happened,to her brother she was so nervous then the miracle happened,3
261,anetv_5WqnKjOz1z4,12586,He is using a large rake to rake the leaves. He then,nervous then the miracle happened she found a big suitcase [MASK] the train she decided to open the bag because no,nervous then the miracle happened she found a big suitcase ,gold,in the train she decided to open the bag because no,to the train she decided to open the bag because no,of the train she decided to open the bag because no,on the train she decided to open the bag because no,3
262,anetv_5WqnKjOz1z4,12585,A man is standing in his backyard. He,she decided to open the bag because no one was [MASK] the train so she opened the bag she surprised when,she decided to open the bag because no one was ,gold,in the train so she opened the bag she surprised when,on the train so she opened the bag she surprised when,of the train so she opened the bag she surprised when,to the train so she opened the bag she surprised when,1
263,anetv_5WqnKjOz1z4,17759,A camera pans around a yard and leads into a man raking up leaves and putting them into bags. The man,"it , we live the moment and benefit from it [MASK] the maximum .","it , we live the moment and benefit from it ",gold,to the maximum .,of the maximum .,for the maximum .,in the maximum .,0
264,anetv_5WqnKjOz1z4,17759,A camera pans around a yard and leads into a man raking up leaves and putting them into bags. The man,believe that people 's lives in the future will change [MASK] the bad .,believe that people 's lives in the future will change ,gen,to the bad .,in the bad .,for the bad .,of the bad .,2
265,anetv_3hSPAtKORgk,1240,A graphic of a boy kicking a soccer ball with 3 defender is seen. The ball,"in addition , a general vision [MASK] the human innovation show that the majority of people creations","in addition , a general vision ",gold,of the human innovation show that the majority of people creations,in the human innovation show that the majority of people creations,to the human innovation show that the majority of people creations,for the human innovation show that the majority of people creations,0
266,anetv_3hSPAtKORgk,1241,The ball is deflected by the defenders in the graphic. A soccer player,the infrastructure of the place is quite wide and [MASK] the front side you can see a huge welcome sign,the infrastructure of the place is quite wide and ,gold,of the front side you can see a huge welcome sign,at the front side you can see a huge welcome sign,in the front side you can see a huge welcome sign,to the front side you can see a huge welcome sign,1
267,anetv_9bnt6lDcF6Y,11270,"A man in a blue polo speaks to the camera. In a different setting, the man",i agree with you about the future [MASK] public transport .,i agree with you about the future ,gold,to public transport .,in public transport .,for public transport .,of public transport .,3
268,anetv_9bnt6lDcF6Y,11271,The woman does sit ups. The man,"every day , the combustible that we get [MASK] our cars is more expensive than use the public transport","every day , the combustible that we get ",gen,to our cars is more expensive than use the public transport,in our cars is more expensive than use the public transport,for our cars is more expensive than use the public transport,of our cars is more expensive than use the public transport,1
269,anetv_9bnt6lDcF6Y,11271,The woman does sit ups. The man,"good idea if the taxes were cheaper than the taxes [MASK] other things such a tobacco , alcohol ....",good idea if the taxes were cheaper than the taxes ,gold,"on other things such a tobacco , alcohol ....","of other things such a tobacco , alcohol ....","to other things such a tobacco , alcohol ....","in other things such a tobacco , alcohol ....",0
270,anetv_QwLiAkfSa9A,794,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it. The woman lies down and the man,i saw you uploading the cat [MASK] the glass bottle in facebook .,i saw you uploading the cat ,gen,of the glass bottle in facebook .,in the glass bottle in facebook .,to the glass bottle in facebook .,for the glass bottle in facebook .,1
271,anetv_QwLiAkfSa9A,794,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it. The woman lies down and the man,i saw you uploading the cat into the glass bottle [MASK] facebook .,i saw you uploading the cat into the glass bottle ,gold,of facebook .,to facebook .,on facebook .,in facebook .,2
272,anetv_YfcxIgsqs5M,715,A group of cheerleaders are seen walking on stage while the audience cheers. The group then,the diagrams below show the five stages [MASK] the process of making bank notes .,the diagrams below show the five stages ,gold,for the process of making bank notes .,to the process of making bank notes .,in the process of making bank notes .,of the process of making bank notes .,3
273,anetv_YfcxIgsqs5M,18007,Cheerleaders come out and perform a routine on the stage. The crowd,wife and i went to ushuaia for four days but [MASK] the second day we realised that my wife had forgotten,wife and i went to ushuaia for four days but ,gold,to the second day we realised that my wife had forgotten,in the second day we realised that my wife had forgotten,of the second day we realised that my wife had forgotten,on the second day we realised that my wife had forgotten,3
274,anetv_YfcxIgsqs5M,18006,A crowd is cheering in front of a stage. Cheerleaders,"cars will be used alternative energy , for example energy [MASK] the sun .","cars will be used alternative energy , for example energy ",gold,from the sun .,of the sun .,in the sun .,to the sun .,0
275,anetv_YfcxIgsqs5M,716,The group then begins performing a cheering routine with one another. The group,"modern science try to find new , more economic sources [MASK] energy .","modern science try to find new , more economic sources ",gen,for energy .,to energy .,of energy .,in energy .,2
276,anetv_YfcxIgsqs5M,716,The group then begins performing a cheering routine with one another. The group,"you survive to a situation which has made you be [MASK] the limit , you change .",you survive to a situation which has made you be ,gold,"for the limit , you change .","in the limit , you change .","of the limit , you change .","to the limit , you change .",3
277,lsmdc0019_Pulp_Fiction-56884,8139,Someone walks out of the alley and is ready for anything. He,human is the most wise and intelligent [MASK] all of these .,human is the most wise and intelligent ,gold,of all of these .,for all of these .,to all of these .,in all of these .,0
278,lsmdc0019_Pulp_Fiction-56884,8145,"Someone slowly inserts the key into the door, quietly opening it. His apartment","however , he is mainly responsible for disturbing this ecosystem [MASK] various activities .","however , he is mainly responsible for disturbing this ecosystem ",gen,of various activities .,to various activities .,through various activities .,in various activities .,2
